# id	left	top	right	bottom	texture_id
[SPRITES]
#PINK
#top
60001	86	73	101	88	30
60002	104	73	119	88	30
60003	122	73	137	88	30
#mid
61001	86	91	101	106	30
61002	104	91	119	106	30
61003	122	91	137	106	30
#bot
62001	86	109	101	124	30
62002	104	109	119	124	30
62003	122	109	137	124	30
#side
63001	86	127	101	142	30
63002	104	127	119	142	30
63003	122	127	119	142	30
#BLUE
#top
60004	386	55	401	70	30
60005	404	55	419	70	30
60006	422	55	437	70	30
#mid
61004	386	73	401	88	30
61005	404	73	419	88	30
61006	422	73	437	88	30
#bot
62004	386	91	401	106	30
62005	404	91	419	106	30
62006	422	91	437	106	30
#side
63004	386	109	401	124	30
63005	404	109	419	124	30
63006	422	109	437	124	30

#GREEN
#top
60007	206	109	221	124	30
60008	224	109	239	124	30
60009	242	109	257	124	30
#mid
61007	206	127	221	142	30
61008	224	127	239	142	30
61009	242	127	257	142	30
#bot
62007	206	145	221	160	30
62008	224	145	239	160	30
62009	242	145	257	160	30
#side
63007	206	163	221	178	30
63008	224	163	239	178	30
63009	242	163	257	178	30

#WHITE
#top
60010	26	109	41	124	30
60011	44	109	59	124	30
60012	62	109	77	124	30
#mid
61010	26	127	41	142	30
61011	44	127	59	142	30
61012	62	127	77	142	30
#bot
62010	26	145	41	160	30
62011	44	145	59	160	30
62012	62	145	77	160	30
#side
63010	26	163	41	178	30
63011	44	163	59	178	30
63012	62	163	77	178	30

#RIGHT
64000	404	127	419	142	30
64001	422	127	437	142	30

#UNDER
65000	386	145	401	160	30
65001	404	145	419	160	30
65002	422	145	437	160	30
#SMILE_CLOUD
60013	44	91	59	106	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
