# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	1028	92	1043	119	1
11111	0	92	15	119	1

#WALKING RIGHT
11222	1009	92	1024	119	1
11223	990	92	1006	119	1

#WALKING LEFT
11212	19	92	34	119	1
11213	37	92	52	119	1

#RUNNING RIGHT
11321	934	92	953	119	1
11322	908	92	927	119	1
11323	882	92	901	119	1

#RUNNING LEFT
11311	90	92	109	119	1
11312	116	92	135	119	1
11313	142	92	161	119	1

#JUMP WALK RIGHT & LEFT
11417	955	92	970	119	1
11413	73	92	88	119	1

#JUMP RUN RIGHT & LEFT
11427	856	92	875	119	1
11423	169	92	188	119	1

#SIT RIGHT & LEFT 
11521	975	92	988	119	1
11511	55	92	68	119	1

#BRACE RIGHT & LEFT 
11621	832	92	849	119	1
11611	194	92	211	119	1

#KICK_LEFT & KICK_RIGHT BIG
11640	306	92	327	119	1
11641	717	92	738	119	1

#HOLD_LEFT BIG
11701	543	120	570	146	2
11702	580	132	608	158	2
11703	614	131	641	157	2

HOLD_RIGHT BIG
11704	119	421	148	447	2
11705	154	422	182	448	2
11706	192	420	219	446	2

#DIE
13001	307	16	323	32	0

############ SMALL ################

#HOLD_LEFT SMALL
12501	181	16	197	32	3
12502	544	212	569	239	3

#HOLD_RIGHT SMALL
12503	94	156	119	175	4
12504	124	156	150	173	4

#IDLE
12121	1029	17	1040	32	1
12111	3	17	14	32	1

#WALK RIGHT
12222	973	15	988	32	1
12223	955	15	970	32	1

#WALK LEFT
12212	73	15	88	32	1
12213	55	15	70	32	1

#RUN RIGHT
12321	1009	15	1024	32	1
12322	973	15	988	32	1
12323	955	15	970	32	1

#RUN LEFT
12311	20	15	35	32	1
12312	55	15	70	32	1
12313	73	15	88	32	1

#BRACE RIGHT & LEFT
12511	920	15	933	32	1
12521	110	15	123	32	1

#JUMP WALK RIGHT & LEFT 
12413	991	15	1006	32	1
12417	37	15	52	32	1

#JUMP RUN RIGHT & LEFT 
12423	937	15	952	32	1
12427	91	15	106	32	1

#KICK_LEFT & KICK_RIGHT SMALL
12433	181	16	197	32	1
12437	847	16	864	32	1

#####  MACROON ###############
#IDLE
13121	1022	349	1043	378	1
13111	0	349	21	378	1

#WALKING RIGHT
13222	994	349	1017	378	1
13223	967	349	990	378	1

#WALKING LEFT
13212	26	349	49	378	1
13213	53	349	76	378	1

#RUNNING RIGHT
13321	836	349	861	378	1
13322	810	349	835	378	1
13323	784	349	809	378	1

#RUNNING LEFT
13311	182	349	207	378	1
13312	208	349	233	378	1
