# id	left	top	right	bottom	texture_id
[SPRITES]

#BIGGRASS

#TRAI TREN
200000	206	37	221	52	30

#PHAI TREN
200001	224	37	239	52	30

#TRUNGTAM
200002	242	37	257	52	30

#CANHTRAI
200003	206	55	221	70	30

#CANHPHAI
200004	224	55	239	70	30

#BIGGRASS WITHOUT SKY
200005	206	73	221	88	30
200006	224	73	239	88	30

#CUTEGRASS - SINGLE
200007	242	55	257	70	30

#CUTEGRASS - TRIPPLE
200008	206	91	221	106	30
200009	224	91	239	106	30
200010	242	91	257	106	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
